Time (s),Latitude (°),Longitude (°),Height (m)
159.111652,36.92011687,140.8092612,1.784841219
160.1116496,36.92015225,140.8092944,0.7848798779
161.1116471,36.92018154,140.8093173,1.784881116
162.1116447,36.92019759,140.8093397,2.784947523
163.1116422,36.92020379,140.8093614,3.785060416
164.1116398,36.92020757,140.8093889,3.785224514
165.1116374,36.92020354,140.8094166,3.785430633
166.111635,36.92019298,140.8094403,4.785643718
167.1116325,36.92017211,140.8094738,3.785975101
168.1116301,36.92013921,140.8095131,3.786407932
169.1116277,36.92011168,140.8095596,3.786861155
170.1116252,36.92007987,140.8096057,3.787333717
171.1116227,36.92005254,140.8096628,2.787856421
172.1116203,36.92001273,140.80971,2.788377723
173.111618,36.91998025,140.8097602,2.788881231
174.1116155,36.91994475,140.8098102,2.789399254
175.111613,36.91990632,140.809867,2.789977273
176.1116106,36.91987317,140.8099194,2.790498856
177.1116082,36.91984279,140.8099784,2.791050367
178.1116057,36.91980897,140.8100413,1.791646005
179.1116033,36.91977745,140.8101059,1.792240926
180.1116008,36.91973944,140.8101624,1.792815185
181.1115983,36.91970713,140.8102246,1.793398025
182.1115959,36.91967196,140.8102804,1.793952521
183.1115934,36.91964103,140.8103304,1.794447031
184.111591,36.91961279,140.8103732,1.794878939
185.1115885,36.91958085,140.8103998,1.795222433
186.1115861,36.91954862,140.8104065,1.795434164
187.1115836,36.91950919,140.8103953,1.795563379
188.1115812,36.91946765,140.8103661,0.7955835873
189.1115787,36.91941715,140.810333,1.795623911
190.1115763,36.91936824,140.8102872,1.795570836
191.1115737,36.91931837,140.8102605,2.795651003
192.1115713,36.919275,140.8102225,3.795621338
193.1115689,36.91924742,140.8101971,3.795594422
194.1115663,36.91921708,140.8101788,4.795629437
195.111564,36.91918741,140.8101946,3.795888968
196.1115615,36.91915107,140.8102071,3.796160603
197.111559,36.91908175,140.810224,8.796632182
198.1115566,36.91902387,140.8102608,8.797177855
199.1115542,36.91895703,140.8103002,8.797787362
200.1115517,36.91889517,140.8103723,6.798590133
201.1115493,36.91887313,140.8104025,7.798906014
202.1115468,36.91884186,140.8104447,7.799349779
203.1115443,36.9188111,140.8105045,7.799909177
204.1115419,36.91879681,140.810582,7.800500938
205.1115394,36.91878382,140.810667,6.801136967
206.111537,36.91877355,140.8107533,5.801766736
207.1115345,36.91876198,140.8108428,5.802425097
208.111532,36.91874363,140.8109399,5.803169078
209.1115296,36.9187313,140.8110592,4.804030851
210.1115272,36.91869987,140.8111709,5.804940132
211.1115247,36.91867955,140.8112916,5.805852396
212.1115222,36.91865105,140.8114081,4.806779026
213.1115198,36.91862351,140.8115194,5.807665945
214.1115173,36.91858831,140.8116351,5.808621794
215.1115148,36.91857402,140.8117349,5.809363325
216.1115124,36.91855994,140.8118327,4.810090331
217.11151,36.91853119,140.8119837,5.811249282
218.1115075,36.91850294,140.8121021,5.812187097
219.111505,36.91847071,140.8122137,6.813100198
220.1115025,36.91843039,140.8123374,7.814136556
221.1115001,36.91839008,140.8124624,8.815181925
222.1114976,36.91834305,140.8125884,9.816268296
223.1114952,36.91829712,140.8127113,9.817328326
224.1114927,36.91825551,140.8128303,9.818340216
225.1114902,36.9182027,140.8129464,10.81939061
226.1114878,36.91814897,140.8130604,9.820431831
227.1114853,36.91808875,140.8131733,8.82149954
228.1114828,36.91802408,140.8132899,8.822615037
229.1114803,36.91796327,140.8134052,7.823701609
230.1114779,36.91789898,140.8135195,8.824800138
231.1114754,36.91783058,140.8136287,7.825885859
232.1114729,36.91776889,140.813745,7.826983914
233.1114703,36.91770385,140.8138608,8.828096644
234.1114678,36.91763851,140.8139673,7.82914872
235.1114653,36.91757209,140.814076,7.830220536
236.1114628,36.91750633,140.8141827,7.831276593
237.1114601,36.91744321,140.8142881,7.832309457
238.1114575,36.91738182,140.8143907,7.833314942
239.1114549,36.91732537,140.8144817,7.834217382
240.1114523,36.91727294,140.8145563,7.834989027
241.1114496,36.91721736,140.8146112,7.835645233
242.111447,36.91715056,140.8146452,8.836219619
243.1114443,36.91708124,140.8146569,8.836658447
244.1114417,36.91701574,140.8146747,7.837117848
245.1114392,36.91694378,140.8146862,7.837568733
246.1114365,36.91686524,140.8146914,6.838012311
247.1114339,36.91678385,140.814688,7.838412357
248.1114313,36.91669848,140.8146779,6.838788772
249.1114286,36.91661412,140.8146636,6.839131334
250.111426,36.91653319,140.8146468,7.83943919
251.1114234,36.91645348,140.8146402,6.83980974
252.1114208,36.91637653,140.8146475,6.840258504
253.1114182,36.91630583,140.8146754,7.840812875
254.1114156,36.91624133,140.8147283,7.84150227
255.1114131,36.91618924,140.8147976,7.842236654
256.1114105,36.91612537,140.8148752,8.843088419
257.1114079,36.91607349,140.8149477,9.843843672
258.1114053,36.91601058,140.8150312,9.844730359
259.1114028,36.91595388,140.8151222,9.845634237
260.1114002,36.91590157,140.8152179,9.846547274
261.1113977,36.91585162,140.8153149,9.847456569
262.1113951,36.91579919,140.8154103,8.8483681
263.1113925,36.91574022,140.8155046,8.849306381
264.1113899,36.91567061,140.8155984,8.850296715
265.1113873,36.91559982,140.8156918,8.851290964
266.1113847,36.91552841,140.8157875,8.8523037
267.1113821,36.91545557,140.8158848,8.853334017
268.1113795,36.91538772,140.8159792,8.854319913
269.111377,36.91531958,140.8160704,8.855285489
270.1113744,36.91525466,140.8161601,8.856224215
271.1113718,36.91519678,140.8162464,8.857103321
272.1113693,36.9151506,140.8163182,8.857825009
273.1113668,36.91510944,140.8163671,8.858367218
274.1113642,36.91507441,140.8163925,8.858719769
275.1113617,36.91505165,140.8164083,8.858943816
276.111359,36.91502596,140.8164244,8.859185385
277.1113565,36.91500224,140.8164517,7.859491969
278.111354,36.91498992,140.8164897,7.859810553
279.1113514,36.91498778,140.8165413,7.860167679
280.1113489,36.9149957,140.8166044,7.860549394
281.1113463,36.91500618,140.8166827,7.861019459
282.1113438,36.91501971,140.8167731,7.861554469
283.1113412,36.915034,140.8168691,7.862123733
284.1113386,36.9150514,140.8169771,7.862756592
285.1113361,36.91506938,140.8170963,7.863461642
286.1113335,36.91508635,140.8172194,7.86419831
287.111331,36.9151063,140.8173453,7.864937993
288.1113284,36.91512478,140.8174752,7.865712256
289.1113258,36.91514779,140.8176135,8.866518516
290.1113232,36.915177,140.8177576,8.867332301
291.1113207,36.91521367,140.8178976,9.868079091
292.1113181,36.91525927,140.8180335,10.86875179
293.1113156,36.915306,140.8181644,10.86938541
294.111313,36.91535667,140.8183057,10.87006806
295.1113105,36.91540126,140.8184397,11.87073293
296.1113079,36.91544962,140.8185723,11.87136965
297.1113054,36.91549597,140.818702,11.87199659
298.1113028,36.91553922,140.8188306,12.87263236
299.1113003,36.91558377,140.8189586,12.87325737
300.1112977,36.91561189,140.8190877,13.87397534
301.1112951,36.91563453,140.8192182,13.87473147
302.1112926,36.91564752,140.8193492,13.87554123
303.11129,36.91565808,140.8194747,13.87632661
304.1112874,36.91566793,140.8195994,14.87711065
305.1112848,36.91568406,140.8197161,15.87780796
306.1112824,36.91570146,140.8198229,14.87843301
307.1112798,36.91571629,140.8199104,14.87894169
308.1112773,36.91572828,140.8199728,14.87929682
309.1112747,36.91574081,140.8200219,13.87956039
310.1112721,36.91575975,140.8200568,13.87969504
311.1112695,36.91579064,140.8200782,13.8796775
312.111267,36.91582459,140.8200807,13.87951654
313.1112644,36.91586184,140.8200692,14.87924511
314.1112619,36.91589956,140.8200501,15.87892019
315.1112593,36.91593841,140.8200222,16.87853042
316.1112568,36.91597785,140.8199896,17.87810673
317.1112542,36.91601863,140.8199442,18.87758961
318.1112516,36.91605785,140.8198944,19.87705141
319.111249,36.91609876,140.8198439,20.87649943
320.1112464,36.91613966,140.8197979,20.87597833
321.1112438,36.9161879,140.8197667,22.87551719
322.1112413,36.91624561,140.8197509,22.87511045
323.1112387,36.91630051,140.8197553,23.87485306
324.1112362,36.91635407,140.8197686,23.87466273
325.1112336,36.91640583,140.8198042,23.87463106
326.111231,36.91644967,140.8198578,22.87476082
327.1112285,36.91647984,140.8199271,22.87506738
328.1112259,36.91649715,140.820004,22.87549159
329.1112233,36.91651261,140.8200798,23.87591868
330.1112207,36.91652636,140.8201493,22.8763121
331.1112182,36.91654145,140.8202194,23.87670242
332.1112156,36.91655046,140.8202926,22.8771458
333.1112131,36.91656425,140.8203596,22.87752213
334.1112104,36.91657883,140.8204186,22.87784099
335.1112079,36.9166015,140.8204635,22.87802278
336.1112053,36.9166344,140.82049,21.87802826
337.1112027,36.91667262,140.8204978,21.87788138
338.1112002,36.91671357,140.8204859,21.87758785
339.1111975,36.9167598,140.8204655,21.87720953
340.111195,36.91680611,140.8204424,21.87681338
341.1111924,36.91685166,140.82042,20.8764251
344.1111844,36.91695585,140.820342,21.87535927
345.1111818,36.91697831,140.8203044,21.87499009
346.1111791,36.91696511,140.8202343,21.87459005
347.1111765,36.91695916,140.8201686,21.87418132
348.1111737,36.91693108,140.8200958,21.87384099
349.1111711,36.91691285,140.8200201,22.87342904
350.1111685,36.91688905,140.8199305,22.8729536
351.1111658,36.91686113,140.8198596,23.87262526
352.1111631,36.91683607,140.8197733,24.87217823
353.1111606,36.916817,140.8196935,24.87174366
354.1111578,36.91681063,140.8196026,26.87116875
355.1111552,36.91682949,140.8195102,27.87045151
356.1111526,36.9168618,140.8194338,27.8697718
357.11115,36.91690619,140.8193773,28.86916209
358.1111474,36.9169522,140.8193219,30.8685506
359.1111447,36.91700748,140.8192801,30.86798281
360.1111421,36.91707818,140.8192587,31.86747088
361.1111394,36.91715555,140.8192618,32.86708798
362.1111368,36.91723857,140.8192745,32.8667395
363.1111342,36.91730139,140.8193049,33.86661531
364.1111315,36.91735541,140.8193609,34.86670808
365.1111289,36.91739636,140.8194322,35.86697112
366.1111263,36.91744623,140.8194928,35.8671169
367.1111237,36.9174912,140.819527,36.86711102
368.111121,36.91755838,140.819551,38.86692081
369.1111183,36.91762234,140.8195402,39.86651471
370.1111157,36.91768294,140.819491,39.8658693
371.1111131,36.91773482,140.8194327,40.86520886
372.1111105,36.91778113,140.8193632,42.86450183
373.1111078,36.91781977,140.8192786,43.86373449
374.1111052,36.91785615,140.8192058,45.86305804
375.1111025,36.9179056,140.8191313,46.86230162
376.1110999,36.91796277,140.8190722,47.86160816
377.1110973,36.9180219,140.8190284,48.86100648
378.1110947,36.91810371,140.8190025,48.86040651
379.111092,36.91818363,140.8189845,50.85986909
380.1110893,36.91825647,140.8189604,51.85932827
381.1110866,36.91833794,140.8189397,52.85876485
382.111084,36.91842545,140.8189251,53.85821032
383.1110813,36.9185161,140.8189106,54.85764053
384.1110786,36.91860415,140.8188787,56.8569683
385.1110759,36.91869367,140.8188512,57.85631758
386.1110733,36.91877988,140.818826,58.85569928
387.1110706,36.91886386,140.8188036,59.85511164
388.111068,36.91894089,140.8187801,60.85455301
389.1110654,36.91901285,140.8187694,60.854106
390.1110627,36.91908263,140.8187595,60.85367596
391.1110601,36.91914767,140.8187497,61.85327119
392.1110574,36.91920576,140.8187439,62.8529296
393.1110547,36.9192522,140.8187379,62.85264709
