Time (s),Yaw (°),Pitch (°),Roll (°)
246.1114365,5.363175377,-1.410553969,178.5195556
247.1114339,4.804479708,-1.502023195,170.4646082
248.1114313,4.688343745,2.389322472,170.9352483
249.1114286,2.975132587,3.781785942,173.656523
250.111426,1.293868928,6.822212152,175.6862698
251.1114234,2.777721306,13.94244851,-178.9346936
252.1114208,4.226596308,18.50931511,-169.4487523
253.1114182,6.005981775,20.38766886,-137.8121405
254.1114156,5.941651105,16.06177348,-120.2029625
255.1114131,6.238231802,9.138539574,-130.1608253
256.1114105,5.830299415,6.212318028,-129.7295669
257.1114079,5.322602572,5.953658748,-128.8550832
258.1114053,3.642844284,9.955425319,-125.4380778
259.1114028,3.321319684,10.74939726,-121.690477
260.1114002,2.250925678,8.164904898,-120.7630257
261.1113977,4.120626693,1.588243495,-120.4563832
262.1113951,3.793592348,-0.1176462967,-128.6396569
263.1113925,3.772632274,-0.03468614537,-134.9557991
264.1113899,3.327911025,3.93277719,-133.1283824
265.1113873,3.124245996,4.943551173,-133.5242895
266.1113847,2.506673719,5.234212459,-128.497889
267.1113821,1.429285134,5.722475837,-130.5746201
268.1113795,0.4309879205,6.329589589,-132.0081118
269.111377,0.2456124816,5.812067351,-135.0404204
270.1113744,-1.418912008,8.653306492,-134.2068783
271.1113718,-7.480423208,6.850402149,-134.5473228
272.1113693,-9.157860455,-0.434316958,-144.3374004
273.1113668,-9.335137619,-1.291935925,-141.085937
274.1113642,-9.599456643,2.455580778,-151.2882397
275.1113617,0.2081345466,4.822170451,-154.4174521
276.111359,1.630474232,9.817144678,-141.6607627
277.1113565,4.568399143,15.13353254,-129.9590225
278.111354,7.362204679,16.52734657,-108.1475639
279.1113514,10.70457417,11.43641505,-90.78172456
280.1113489,11.02917186,6.285975075,-87.46862288
281.1113463,11.29150218,5.728395222,-85.17728811
282.1113438,5.169128146,6.254020844,-94.49406431
283.1113412,7.80312595,3.271819615,-82.41479054
284.1113386,6.096950283,1.87069377,-80.88308771
285.1113361,5.553258054,3.319474747,-88.67749427
286.1113335,-0.6763093647,4.023494208,-95.29450416
287.111331,2.213346594,3.873868104,-89.21055976
288.1113284,2.232970481,3.45464423,-92.11930276
289.1113258,1.670494668,7.082948822,-87.44030088
290.1113232,1.43155248,11.31364417,-82.69733927
291.1113207,1.507308644,12.35027761,-79.26081996
292.1113181,0.5602696472,7.642830359,-74.76654586
293.1113156,0.02277414219,3.573649355,-77.23439121
294.111313,-0.3328093617,3.638969291,-76.73666914
295.1113105,-0.9705762419,4.434015846,-77.20831779
296.1113079,-1.089789257,4.670149202,-76.2523526
297.1113054,-1.286582183,4.105613137,-75.80331505
298.1113028,-1.5526341,1.835687429,-76.97427899
299.1113003,-1.998254178,-2.609482052,-80.79803967
300.1112977,-1.612818799,-4.143869541,-86.56952847
301.1112951,-2.067115656,-3.176962742,-91.73432265
302.1112926,-1.972321338,0.04409542576,-95.91540968
303.11129,-2.855299601,2.038148791,-96.43738077
304.1112874,-4.247228852,3.338273131,-94.83952471
305.1112848,-5.264902452,7.147572043,-93.07156217
306.1112824,-13.37287068,6.08830286,-97.49288023
307.1112798,-12.89640053,4.773745603,-97.41485496
308.1112773,-11.50217895,5.101944256,-94.73030442
309.1112747,-11.4607426,11.04341143,-85.95389083
310.1112721,-4.144314458,16.87389147,-61.20498112
311.1112695,0.5799883529,19.10033697,-32.68923074
312.111267,6.485991293,14.92376683,-5.041479971
313.1112644,7.925112478,10.19209623,15.92224512
314.1112619,10.09497283,7.521655745,26.62780993
315.1112593,9.630787535,7.438338104,32.1660975
316.1112568,10.04257892,7.389756718,37.54321256
317.1112542,9.655221849,5.216191402,41.99687011
318.1112516,9.302555271,3.33046657,43.95366903
319.111249,7.532663451,1.683928967,41.21026604
320.1112464,7.241440985,-1.330622048,32.4671856
321.1112438,7.013704843,-2.617369973,22.82425078
322.1112413,5.173890813,-3.558084487,11.26207869
